Name,Section,Title,Day,Start Time,End Time,Location,Instructor
CORE 200,L1,Scientific Methods,M,2:30 PM,3:45 PM,W-234,Aamir Hasan
EE/CE 354/361,L2,Intro to Probability & Stats,MW,11:30 AM,12:45 PM,GF-E121,Aamir Hasan
EE/CE 354/361,R2,Intro to Probability & Stats,F,11:30 AM,12:20 PM,FF-N219,Aamir Hasan
ANT 325,S1,Truth in Anthropology,TTh,8:30 AM,9:45 AM,FF-E220,Aaron Mulvany
CORE 101,S18,Rhetoric & Communication,TTh,10:00 AM,11:15 AM,E-012,Aaron Mulvany
SDP 201,L1,Qualitative Research Methods,W,3:30 PM,5:10 PM,FF-W243,Aaron Mulvany
CORE 101,L1,Rhetoric & Communication,M,4:30 PM,5:20 PM,E-215,"Aaron Mulvany
Arsalan Pareyal
Ayesha Raees
Hamza Bin Sajjad
Javeria Hasnain
Nahrain Al-Mousawi
Saeed ur Rehman
Xiaoxi Zhang
Zuha Asif Siddiqui"
EE/CE 468,L1,Mobile Robotics,MW,11:30 AM,12:45 PM,H-509,Abdul Basit Memon
EE/CE 100,T1,Intro to ECE,W,2:30 PM,5:30 PM,LG-C001,"Abdul Basit Memon
Maham Tabassum
Syed Jahanzeb Ibrar"
COM 202,S1,Communication and Culture,W,12:50 PM,2:30 PM,H-504,Abdul Rafay Mahmood
COM 320,S1,Stardom and Fandom Studies,W,2:30 PM,5:00 PM,FF-W242,Abdul Rafay Mahmood
DH 131,L1,"Bump! Culture, code",TTh,5:15 PM,6:30 PM,H-505,"Abdul Rafay Mahmood
Shah Jamal Alam"
CS 491,C1,Capstone (Kaavish) I,W,10:00 AM,11:15 AM,FF-E220,Abdul Samad
CS/CE 316/365,L1,Introduction to Deep Learning,TTh,2:25 PM,3:40 PM,H-507,Abdul Samad
CS/CE 316L/365L,T1,Intro to Deep Learning Lab,F,3:30 PM,6:30 PM,E-003,Abdul Samad
CS/CE 351/363,L3,Artificial Intelligence,MW,4:00 PM,5:15 PM,H-501,Abdul Samad
CE/CS 321L/330L,T2,Computer Architecture Lab,W,1:40 PM,4:40 PM,W-110,Abeera Farooq Alam
CE/EE 325/378,R1,Digital System Design,W,10:30 AM,11:20 AM,W-321,Abeera Farooq Alam
SDP 101,S3,Development and Social Change,TTh,5:15 PM,6:30 PM,H-509,Abira Ashfaq
SDP 115,S1,Constitutional Law,TTh,11:30 AM,12:45 PM,FF-N220,Abira Ashfaq
SDP 101,L1,Development and Social Change,M,1:30 PM,2:20 PM,FF-E220,"Abira Ashfaq
Farhan Anwar
Tajreen Jafri"
CORE 200,L2,Scientific Methods,TTh,11:30 AM,12:45 PM,H-509,Abu Bakr Mehmood
PHY 101,L1,Mechanics & Thermodynamics,TTh,2:25 PM,3:40 PM,H-503,Abu Bakr Mehmood
